Config 176 | WITHOUT OT (PLAIN)   |    31.56 sec | ✅
Config 176 | WITH OT              |    37.88 sec | ✅
Config 177 | WITHOUT OT (PLAIN)   |    27.87 sec | ✅
Config 177 | WITH OT              |    55.29 sec | ✅
Config 178 | WITHOUT OT (PLAIN)   |    37.71 sec | ✅
Config 178 | WITH OT              |    25.75 sec | ✅
Config 179 | WITHOUT OT (PLAIN)   |    18.86 sec | ✅
Config 179 | WITH OT              |    24.02 sec | ✅
Config 180 | WITHOUT OT (PLAIN)   |    33.36 sec | ✅
Config 180 | WITH OT              |    33.56 sec | ✅
Config 181 | WITHOUT OT (PLAIN)   |    24.40 sec | ✅
Config 181 | WITH OT              |    26.77 sec | ✅
Config 182 | WITHOUT OT (PLAIN)   |    24.43 sec | ✅
Config 182 | WITH OT              |    16.89 sec | ✅
Config 183 | WITHOUT OT (PLAIN)   |    27.11 sec | ✅
Config 183 | WITH OT              |    25.21 sec | ✅
Config 184 | WITHOUT OT (PLAIN)   |    30.24 sec | ✅
Config 184 | WITH OT              |    29.40 sec | ✅
Config 185 | WITHOUT OT (PLAIN)   |    48.60 sec | ✅
Config 185 | WITH OT              |    23.64 sec | ✅
Config 186 | WITHOUT OT (PLAIN)   |    29.65 sec | ✅
Config 186 | WITH OT              |    40.21 sec | ✅
Config 187 | WITHOUT OT (PLAIN)   |    21.41 sec | ✅
Config 187 | WITH OT              |    26.67 sec | ✅
Config 188 | WITHOUT OT (PLAIN)   |    33.10 sec | ✅
Config 188 | WITH OT              |    36.33 sec | ✅
Config 189 | WITHOUT OT (PLAIN)   |    28.47 sec | ✅
Config 189 | WITH OT              |    38.09 sec | ✅
Config 190 | WITHOUT OT (PLAIN)   |    49.68 sec | ✅
Config 190 | WITH OT              |    19.73 sec | ✅
Config 191 | WITHOUT OT (PLAIN)   |    34.72 sec | ✅
Config 191 | WITH OT              |    36.12 sec | ✅
Config 192 | WITHOUT OT (PLAIN)   |    37.55 sec | ✅
Config 192 | WITH OT              |    37.65 sec | ✅
Config 193 | WITHOUT OT (PLAIN)   |    71.65 sec | ✅
Config 193 | WITH OT              |    82.44 sec | ✅
Config 194 | WITHOUT OT (PLAIN)   |    82.73 sec | ✅
Config 194 | WITH OT              |    67.49 sec | ✅
Config 195 | WITHOUT OT (PLAIN)   |    72.13 sec | ✅
Config 195 | WITH OT              |    65.77 sec | ✅
Config 196 | WITHOUT OT (PLAIN)   |    90.74 sec | ✅
Config 196 | WITH OT              |    84.83 sec | ✅
Config 197 | WITHOUT OT (PLAIN)   |    95.20 sec | ✅
Config 197 | WITH OT              |    88.01 sec | ✅
Config 198 | WITHOUT OT (PLAIN)   |    69.51 sec | ✅
Config 198 | WITH OT              |   106.24 sec | ✅
Config 199 | WITHOUT OT (PLAIN)   |    78.74 sec | ✅
Config 199 | WITH OT              |    84.50 sec | ✅
Config 200 | WITHOUT OT (PLAIN)   |    95.44 sec | ✅
Config 200 | WITH OT              |    86.90 sec | ✅
Config 201 | WITHOUT OT (PLAIN)   |    85.33 sec | ✅
Config 201 | WITH OT              |    88.16 sec | ✅
Config 202 | WITHOUT OT (PLAIN)   |   105.67 sec | ✅
Config 202 | WITH OT              |    86.41 sec | ✅
Config 203 | WITHOUT OT (PLAIN)   |    64.63 sec | ✅
Config 203 | WITH OT              |    98.90 sec | ✅
Config 204 | WITHOUT OT (PLAIN)   |    79.38 sec | ✅
Config 204 | WITH OT              |    69.11 sec | ✅
Config 205 | WITHOUT OT (PLAIN)   |    78.86 sec | ✅
Config 205 | WITH OT              |    85.37 sec | ✅
Config 206 | WITHOUT OT (PLAIN)   |    71.61 sec | ✅
Config 206 | WITH OT              |    87.33 sec | ✅
Config 207 | WITHOUT OT (PLAIN)   |    86.22 sec | ✅
Config 207 | WITH OT              |    92.85 sec | ✅
Config 208 | WITHOUT OT (PLAIN)   |    84.86 sec | ✅
Config 208 | WITH OT              |    88.32 sec | ✅
Config 209 | WITHOUT OT (PLAIN)   |    79.70 sec | ✅
Config 209 | WITH OT              |    86.07 sec | ✅
Config 210 | WITHOUT OT (PLAIN)   |    72.25 sec | ✅
Config 210 | WITH OT              |    67.71 sec | ✅
Config 211 | WITHOUT OT (PLAIN)   |    73.24 sec | ✅
Config 211 | WITH OT              |    96.29 sec | ✅
Config 212 | WITHOUT OT (PLAIN)   |    87.43 sec | ✅
Config 212 | WITH OT              |    83.25 sec | ✅
Config 213 | WITHOUT OT (PLAIN)   |    87.94 sec | ✅
Config 213 | WITH OT              |    84.61 sec | ✅
Config 214 | WITHOUT OT (PLAIN)   |    84.33 sec | ✅
Config 214 | WITH OT              |    86.53 sec | ✅
Config 215 | WITHOUT OT (PLAIN)   |    95.85 sec | ✅
Config 215 | WITH OT              |    82.36 sec | ✅
Config 216 | WITHOUT OT (PLAIN)   |    87.50 sec | ✅
Config 216 | WITH OT              |    67.72 sec | ✅
Config 217 | WITHOUT OT (PLAIN)   |    48.32 sec | ✅
Config 217 | WITH OT              |    51.74 sec | ✅
Config 218 | WITHOUT OT (PLAIN)   |    52.16 sec | ✅
Config 218 | WITH OT              |    47.89 sec | ✅
Config 219 | WITHOUT OT (PLAIN)   |    45.63 sec | ✅
Config 219 | WITH OT              |    53.21 sec | ✅
Config 220 | WITHOUT OT (PLAIN)   |    49.87 sec | ✅
Config 220 | WITH OT              |    46.44 sec | ✅
Config 221 | WITHOUT OT (PLAIN)   |    54.02 sec | ✅
Config 221 | WITH OT              |    50.17 sec | ✅
Config 222 | WITHOUT OT (PLAIN)   |    47.55 sec | ✅
Config 222 | WITH OT              |    55.38 sec | ✅
Config 223 | WITHOUT OT (PLAIN)   |    51.29 sec | ✅
Config 223 | WITH OT              |    48.76 sec | ✅
Config 224 | WITHOUT OT (PLAIN)   |    46.80 sec | ✅
Config 224 | WITH OT              |    52.93 sec | ✅
Config 225 | WITHOUT OT (PLAIN)   |    53.47 sec | ✅
Config 225 | WITH OT              |    49.11 sec | ✅
Config 226 | WITHOUT OT (PLAIN)   |    50.64 sec | ✅
Config 226 | WITH OT              |    44.88 sec | ✅
Config 227 | WITHOUT OT (PLAIN)   |    44.19 sec | ✅
